headphone_id,brand,model,price,type,use_case,bass_level,sound_profile,noise_cancellation,user_rating,user_reviews,image_url
1,Sony,WH-1000XM5,399,Over-ear,Casual,Medium,Balanced,Yes,4.7,15234,https://i.rtings.com/assets/products/Nc33W9lA/sony-wh-1000xm5-wireless/design-medium.jpg
2,Bose,QuietComfort 45,329,Over-ear,Casual,Medium,Balanced,Yes,4.5,12847,https://i.rtings.com/assets/products/hsM4Rq8v/bose-quietcomfort-45-qc45-wireless/design-medium.jpg
3,Apple,AirPods Max,549,Over-ear,Casual,Low,Balanced,Yes,4.4,9876,https://i.rtings.com/assets/products/dlbLQ8NA/apple-airpods-max-wireless/design-medium.jpg
4,Sennheiser,HD 660S,499,Over-ear,Studio,Low,Flat,No,4.6,3421,https://i.rtings.com/assets/products/EKiPCIiD/sennheiser-hd-660s/design-medium.jpg
5,Audio-Technica,ATH-M50x,149,Over-ear,Studio,Medium,Flat,No,4.6,18923,https://i.rtings.com/assets/products/alQiTBPT/audio-technica-ath-m50x/design-medium.jpg
6,Beats,Studio Pro,349,Over-ear,Workout,High,Bass-heavy,Yes,4.3,5678,https://i.rtings.com/assets/products/eX8xwK7x/beats-studio-pro-wireless/design-medium.jpg
7,Sony,WH-CH720N,149,Over-ear,Casual,Medium,Balanced,Yes,4.4,8234,https://i.rtings.com/assets/products/2Z2PJRhI/sony-wh-ch720n-wireless/design-medium.jpg
8,Beyerdynamic,DT 770 PRO,159,Over-ear,Studio,Medium,Flat,No,4.7,11234,https://i.rtings.com/assets/products/wvMyoiPN/beyerdynamic-dt-770-pro/design-medium.jpg
9,Shure,SRH440A,99,Over-ear,Studio,Low,Flat,No,4.4,4567,https://i.rtings.com/assets/products/RVdv4iXN/shure-srh440a/design-medium.jpg
10,JBL,TUNE 760NC,129,Over-ear,Workout,High,Bass-heavy,Yes,4.2,6789,https://i.rtings.com/assets/products/0CLRCHVn/jbl-tune-760nc-wireless/design-medium.jpg
11,Bose,QuietComfort Ultra,429,Over-ear,Casual,Medium,Balanced,Yes,4.6,7890,https://i.rtings.com/assets/products/og42voeg/bose-quietcomfort-ultra-headphones-wireless/design-medium.jpg
12,Sony,WH-1000XM4,348,Over-ear,Casual,Medium,Balanced,Yes,4.7,22341,https://i.rtings.com/assets/products/nggZcsC3/sony-wh-1000xm4-wireless/design-medium.jpg
13,Sennheiser,Momentum 4,379,Over-ear,Casual,Medium,Balanced,Yes,4.5,5432,https://i.rtings.com/assets/products/0DyKny4w/sennheiser-momentum-4-wireless/design-medium.jpg
14,AKG,K371,149,Over-ear,Studio,Medium,Flat,No,4.5,3890,https://i.rtings.com/assets/products/EEhGj4PX/akg-k371/design-medium.jpg
15,Audio-Technica,ATH-M70x,299,Over-ear,Studio,Low,Flat,No,4.5,2345,https://i.rtings.com/assets/products/bnW9zJUt/audio-technica-ath-m70x/design-medium.jpg
16,Beats,Solo 3,199,On-ear,Workout,High,Bass-heavy,No,4.3,9876,https://i.rtings.com/assets/products/JmFrxYoq/beats-solo3-wireless/design-medium.jpg
17,Bose,SoundLink II,229,On-ear,Casual,Medium,Balanced,No,4.4,6543,https://i.rtings.com/assets/products/Gl5bDHHS/bose-soundlink-on-ear-wireless/design-medium.jpg
18,Skullcandy,Crusher Evo,199,Over-ear,Workout,High,Bass-heavy,No,4.3,4321,https://i.rtings.com/assets/products/EqbiHu4Q/skullcandy-crusher-evo-wireless/design-medium.jpg
19,JBL,Live 660NC,199,Over-ear,Casual,High,Bass-heavy,Yes,4.2,5678,https://i.rtings.com/assets/products/y1Tc6TUU/jbl-live-660nc-wireless/design-medium.jpg
20,Sony,MDR-7506,99,Over-ear,Studio,Low,Flat,No,4.7,16789,https://i.rtings.com/assets/products/9KYSKyc8/sony-mdr-7506/design-medium.jpg
21,Beyerdynamic,DT 990 PRO,169,Over-ear,Studio,Low,Flat,No,4.6,8901,https://i.rtings.com/assets/products/A2m3FNJS/beyerdynamic-dt-990-pro/design-medium.jpg
22,Sennheiser,HD 600,399,Over-ear,Studio,Low,Flat,No,4.8,13456,https://i.rtings.com/assets/products/Tlv3KCRp/sennheiser-hd-600/design-medium.jpg
23,Audio-Technica,ATH-M40x,99,Over-ear,Studio,Medium,Flat,No,4.5,12345,https://i.rtings.com/assets/products/gFPEMJ4T/audio-technica-ath-m40x/design-medium.jpg
24,Focal,Bathys,799,Over-ear,Studio,Low,Flat,Yes,4.6,1234,https://i.rtings.com/assets/products/4QR1g9pa/focal-bathys-wireless/design-medium.jpg
25,Master & Dynamic,MW75,599,Over-ear,Casual,Medium,Balanced,Yes,4.4,2345,https://i.rtings.com/assets/products/L2HKY0RY/master-dynamic-mw75-wireless/design-medium.jpg
26,Bang & Olufsen,Beoplay H95,799,Over-ear,Casual,Low,Balanced,Yes,4.5,1876,https://i.rtings.com/assets/products/vNWmv60V/bang-olufsen-beoplay-h95-wireless/design-medium.jpg
27,Bowers & Wilkins,PX7 S2,399,Over-ear,Casual,Medium,Balanced,Yes,4.5,4567,https://i.rtings.com/assets/products/PKE3YEAc/bowers-wilkins-px7-s2-wireless/design-medium.jpg
28,Jabra,Elite 85h,249,Over-ear,Casual,Medium,Balanced,Yes,4.3,7890,https://i.rtings.com/assets/products/6bSxRpJe/jabra-elite-85h-wireless/design-medium.jpg
29,Anker,Soundcore Life Q35,129,Over-ear,Casual,High,Bass-heavy,Yes,4.4,9876,https://i.rtings.com/assets/products/Y90PfMjY/anker-soundcore-life-q35-wireless/design-medium.jpg
30,Razer,Barracuda Pro,249,Over-ear,Gaming,High,Bass-heavy,Yes,4.3,5432,https://i.rtings.com/assets/products/i0DhCByO/razer-barracuda-pro-wireless/design-medium.jpg
31,HyperX,Cloud Alpha,99,Over-ear,Gaming,High,Bass-heavy,No,4.6,14567,https://i.rtings.com/assets/products/hkCC1ec3/hyperx-cloud-alpha-wireless/design-medium.jpg
32,SteelSeries,Arctis Nova Pro,349,Over-ear,Gaming,Medium,Balanced,Yes,4.5,6789,https://i.rtings.com/assets/products/KDUQUrYp/steelseries-arctis-nova-pro-wireless-pc-ps-xbox/design-medium.jpg
33,Logitech,G Pro X,129,Over-ear,Gaming,Medium,Balanced,No,4.4,8901,https://i.rtings.com/assets/products/Lj5n0fqe/logitech-g-pro-x-gaming-headset/design-medium.jpg
34,Corsair,Virtuoso RGB,179,Over-ear,Gaming,High,Bass-heavy,No,4.3,4567,https://i.rtings.com/assets/products/lVYr8qXf/corsair-virtuoso-rgb-wireless-se/design-medium.jpg
35,Grado,SR325x,295,On-ear,Studio,Low,Flat,No,4.5,2345,https://i.rtings.com/assets/products/lYBLDAuT/grado-sr325x/design-medium.jpg
36,Focal,Clear Mg,1490,Over-ear,Studio,Low,Flat,No,4.8,876,https://i.rtings.com/assets/products/7sEVX0Pq/focal-clear-mg/design-medium.jpg
37,Audeze,LCD-X,1199,Over-ear,Studio,Low,Flat,No,4.7,1234,https://i.rtings.com/assets/products/pVPLFjzl/audeze-lcd-x-2021/design-medium.jpg
38,HIFIMAN,Sundara,349,Over-ear,Studio,Low,Flat,No,4.6,5678,https://i.rtings.com/assets/products/UxQGqTTx/hifiman-sundara-2020/design-medium.jpg
39,Philips,SHP9500,79,Over-ear,Studio,Low,Flat,No,4.5,11234,https://i.rtings.com/assets/products/fOya9bHJ/philips-shp9500/design-medium.jpg
40,OneOdio,Pro-50,39,Over-ear,Studio,Medium,Flat,No,4.1,6789,
41,Sony,WH-XB910N,248,Over-ear,Workout,High,Bass-heavy,Yes,4.3,7890,https://i.rtings.com/assets/products/S8ElEYfT/sony-wh-xb910n-wireless/design-medium.jpg
42,JBL,Club One,349,Over-ear,Casual,High,Bass-heavy,Yes,4.2,3456,https://i.rtings.com/assets/products/qwWCVrEw/jbl-club-one-wireless/design-medium.jpg
43,Marshall,Major IV,149,On-ear,Casual,High,Bass-heavy,No,4.3,5678,https://i.rtings.com/assets/products/4uY9LwH1/marshall-major-iv-wireless/design-medium.jpg
44,Beats,Studio Buds Plus,169,In-ear,Workout,High,Bass-heavy,Yes,4.2,8901,https://i.rtings.com/assets/products/5dGQALhq/beats-studio-buds-truly-wireless/design-medium.jpg
45,Bose,Sport Earbuds,179,In-ear,Workout,High,Bass-heavy,No,4.3,6789,https://i.rtings.com/assets/products/0t2hPxmX/bose-sport-earbuds-truly-wireless/design-medium.jpg
46,Jaybird,Vista 2,199,In-ear,Workout,High,Bass-heavy,No,4.2,3456,https://i.rtings.com/assets/products/rjbdfB2V/jaybird-vista-2-truly-wireless/design-medium.jpg
47,Shokz,OpenRun Pro,179,Bone-conduction,Workout,Low,Balanced,No,4.5,4567,https://i.rtings.com/assets/products/k2N5gGqD/shokz-openrun-pro-bone-conduction/design-medium.jpg
48,AfterShokz,Aeropex,159,Bone-conduction,Workout,Low,Balanced,No,4.4,5678,https://i.rtings.com/assets/products/CnhvLmOb/aftershokz-aeropex-bone-conduction/design-medium.jpg
49,Urbanears,Pampas,149,Over-ear,Casual,Medium,Balanced,Yes,4.1,2345,
50,Status,Between Pro,399,Over-ear,Studio,Low,Flat,Yes,4.4,1234,
51,V-MODA,Crossfade M-100,249,Over-ear,Studio,High,Bass-heavy,No,4.4,4567,https://i.rtings.com/assets/products/xJVzFx8x/v-moda-crossfade-m-100-master/design-medium.jpg
52,Monoprice,Monolith M570,349,Over-ear,Studio,Low,Flat,No,4.3,2345,
53,Koss,Porta Pro,49,On-ear,Casual,Medium,Balanced,No,4.3,8901,https://i.rtings.com/assets/products/eVM1wAsO/koss-porta-pro-wireless/design-medium.jpg
54,AKG,K240,69,Over-ear,Studio,Low,Flat,No,4.4,7890,https://i.rtings.com/assets/products/uYQTdIcK/akg-k240-studio/design-medium.jpg
55,Yamaha,YH-5000SE,4999,Over-ear,Studio,Low,Flat,No,4.9,234,
56,Denon,AH-D5200,599,Over-ear,Studio,Medium,Balanced,No,4.5,1234,
57,Audio-Technica,ATH-AD900x,149,Over-ear,Studio,Low,Flat,No,4.4,3456,https://i.rtings.com/assets/products/F8BV3cSO/audio-technica-ath-ad700x/design-medium.jpg
58,Grado,SR80x,125,On-ear,Studio,Low,Flat,No,4.5,5678,https://i.rtings.com/assets/products/iYuggSR5/grado-sr80e/design-medium.jpg
59,Sony,MDR-Z7M2,599,Over-ear,Studio,Medium,Balanced,No,4.5,2345,
60,Sennheiser,HD 800 S,1699,Over-ear,Studio,Low,Flat,No,4.9,1876,https://i.rtings.com/assets/products/MlUJ8qdR/sennheiser-hd-800-s/design-medium.jpg
61,Sony,WF-1000XM5,299,In-ear,Casual,Medium,Balanced,Yes,4.6,11234,https://i.rtings.com/assets/products/c93aW5Hs/sony-wf-1000xm5-truly-wireless/design-medium.jpg
62,Apple,AirPods Pro 2,249,In-ear,Casual,Low,Balanced,Yes,4.7,19876,https://i.rtings.com/assets/products/s8HlCeNR/apple-airpods-pro-2nd-generation-truly-wireless/design-medium.jpg
63,Samsung,Galaxy Buds2 Pro,229,In-ear,Casual,Medium,Balanced,Yes,4.4,9876,https://i.rtings.com/assets/products/CxMKNsjx/samsung-galaxy-buds2-pro-truly-wireless/design-medium.jpg
64,Jabra,Elite 7 Pro,199,In-ear,Workout,Medium,Balanced,Yes,4.3,6789,https://i.rtings.com/assets/products/dSvLz2b5/jabra-elite-7-pro-truly-wireless/design-medium.jpg
65,Anker,Soundcore Liberty 4,149,In-ear,Casual,High,Bass-heavy,Yes,4.4,7890,https://i.rtings.com/assets/products/KCpvBYyh/anker-soundcore-liberty-4-truly-wireless/design-medium.jpg
66,Bose,QuietComfort Earbuds II,299,In-ear,Casual,Medium,Balanced,Yes,4.5,8901,https://i.rtings.com/assets/products/AQze2J9H/bose-quietcomfort-earbuds-ii-truly-wireless/design-medium.jpg
67,Sony,LinkBuds S,199,In-ear,Casual,Medium,Balanced,Yes,4.3,5678,https://i.rtings.com/assets/products/cWVnVQQx/sony-linkbuds-s-truly-wireless/design-medium.jpg
68,Nothing,Ear 2,149,In-ear,Casual,Medium,Balanced,Yes,4.2,4567,https://i.rtings.com/assets/products/PQXZ1nEm/nothing-ear-2-truly-wireless/design-medium.jpg
69,Google,Pixel Buds Pro,199,In-ear,Casual,Medium,Balanced,Yes,4.1,6789,https://i.rtings.com/assets/products/QmqIQjpq/google-pixel-buds-pro-truly-wireless/design-medium.jpg
70,Beats,Fit Pro,199,In-ear,Workout,High,Bass-heavy,Yes,4.4,8901,https://i.rtings.com/assets/products/m1LhZTnF/beats-fit-pro-truly-wireless/design-medium.jpg
71,Sennheiser,Momentum True Wireless 3,279,In-ear,Casual,Medium,Balanced,Yes,4.5,5678,https://i.rtings.com/assets/products/1sEGLPVl/sennheiser-momentum-true-wireless-3/design-medium.jpg
72,JBL,Live Pro 2,149,In-ear,Workout,High,Bass-heavy,Yes,4.2,4567,https://i.rtings.com/assets/products/Vg5KwkHM/jbl-live-pro-2-tws-truly-wireless/design-medium.jpg
73,Technics,EAH-AZ60,229,In-ear,Casual,Medium,Balanced,Yes,4.4,3456,https://i.rtings.com/assets/products/p2kkADqn/technics-eah-az60-truly-wireless/design-medium.jpg
74,Edifier,W820NB,59,Over-ear,Casual,High,Bass-heavy,Yes,4.2,9876,
75,Cowin,E7,69,Over-ear,Casual,High,Bass-heavy,Yes,4.0,8901,
76,TaoTronics,SoundSurge 60,59,Over-ear,Casual,High,Bass-heavy,Yes,4.0,7890,
77,1MORE,SonoFlow,99,Over-ear,Casual,Medium,Balanced,Yes,4.3,6789,https://i.rtings.com/assets/products/YmYZJQJb/1more-sonoflow-wireless/design-medium.jpg
78,Soundcore,Space Q45,149,Over-ear,Casual,Medium,Balanced,Yes,4.5,10234,https://i.rtings.com/assets/products/Y0vGhiRi/anker-soundcore-space-q45-wireless/design-medium.jpg
79,Cleer,Enduro ANC,179,Over-ear,Casual,Medium,Balanced,Yes,4.2,3456,
80,Mixcder,E9,79,Over-ear,Casual,High,Bass-heavy,Yes,3.9,5678,
81,Treblab,Z2,89,Over-ear,Workout,High,Bass-heavy,No,4.0,4567,
82,Mpow,H21,69,Over-ear,Casual,High,Bass-heavy,Yes,4.0,6789,
83,Status,Audio Between 3ANC,149,Over-ear,Casual,Medium,Balanced,Yes,4.1,3456,
84,Ausounds,AU-Stream Hybrid,299,Over-ear,Casual,Medium,Balanced,Yes,4.2,2345,
85,KEF,Mu3,249,In-ear,Casual,Low,Balanced,Yes,4.4,3456,
86,Devialet,Gemini,349,In-ear,Casual,Low,Balanced,Yes,4.3,2345,https://i.rtings.com/assets/products/NNibZwW9/devialet-gemini-truly-wireless/design-medium.jpg
87,Master & Dynamic,MW08,299,In-ear,Casual,Medium,Balanced,Yes,4.4,3456,https://i.rtings.com/assets/products/OeBKLuUH/master-dynamic-mw08-truly-wireless/design-medium.jpg
88,Bang & Olufsen,Beoplay EX,399,In-ear,Casual,Low,Balanced,Yes,4.5,2345,https://i.rtings.com/assets/products/IVd2lKJx/bang-olufsen-beoplay-ex-truly-wireless/design-medium.jpg
89,Bowers & Wilkins,PI7 S2,399,In-ear,Casual,Medium,Balanced,Yes,4.4,3456,https://i.rtings.com/assets/products/C8K3xj7S/bowers-wilkins-pi7-s2-truly-wireless/design-medium.jpg
90,Cambridge Audio,Melomania 1 Plus,129,In-ear,Casual,Medium,Balanced,No,4.3,4567,https://i.rtings.com/assets/products/DJlI2Zio/cambridge-audio-melomania-1-truly-wireless/design-medium.jpg
91,Noble,FoKus Pro,449,In-ear,Studio,Low,Flat,Yes,4.6,1234,
92,Campfire,Audio Ara,1299,In-ear,Studio,Low,Flat,No,4.7,876,
93,Shure,AONIC 50,299,Over-ear,Studio,Low,Flat,Yes,4.5,3456,https://i.rtings.com/assets/products/pjSEnW5P/shure-aonic-50-wireless/design-medium.jpg
94,Shure,AONIC 40,249,Over-ear,Studio,Low,Flat,Yes,4.4,4567,https://i.rtings.com/assets/products/w4DKsJUY/shure-aonic-40-wireless/design-medium.jpg
95,AKG,N700NC M2,299,Over-ear,Casual,Medium,Balanced,Yes,4.3,4567,https://i.rtings.com/assets/products/elNXHgN6/akg-n700nc-m2-wireless/design-medium.jpg
96,Harman Kardon,FLY ANC,199,Over-ear,Casual,Medium,Balanced,Yes,4.2,3456,
97,JBL,Tour One M2,299,Over-ear,Casual,High,Bass-heavy,Yes,4.3,5678,https://i.rtings.com/assets/products/vU7fGfGa/jbl-tour-one-m2-wireless/design-medium.jpg
98,Sony,INZONE H9,299,Over-ear,Gaming,High,Bass-heavy,Yes,4.4,6789,https://i.rtings.com/assets/products/ohbdEZ5v/sony-inzone-h9-wireless/design-medium.jpg
99,Razer,Opus X,99,Over-ear,Gaming,High,Bass-heavy,Yes,4.1,5678,https://i.rtings.com/assets/products/u6fUwGW9/razer-opus-x-wireless/design-medium.jpg
100,Turtle Beach,Stealth 700,149,Over-ear,Gaming,High,Bass-heavy,No,4.2,6789,https://i.rtings.com/assets/products/H18FLdnE/turtle-beach-stealth-700-gen-2-wireless/design-medium.jpg
101,SteelSeries,Arctis 7,179,Over-ear,Gaming,Medium,Balanced,No,4.5,9876,https://i.rtings.com/assets/products/k5M3Gn0G/steelseries-arctis-7-2019-edition-wireless/design-medium.jpg
102,Logitech,G733,129,Over-ear,Gaming,High,Bass-heavy,No,4.3,7890,https://i.rtings.com/assets/products/XYXBwexV/logitech-g733-lightspeed-wireless/design-medium.jpg
103,Razer,BlackShark V2,99,Over-ear,Gaming,High,Bass-heavy,No,4.4,11234,https://i.rtings.com/assets/products/PaFp32Nw/razer-blackshark-v2-pro-wireless-2020/design-medium.jpg
104,HyperX,Cloud II,99,Over-ear,Gaming,High,Bass-heavy,No,4.5,13456,https://i.rtings.com/assets/products/uULa25wC/hyperx-cloud-2-cloud-ii/design-medium.jpg
105,Corsair,HS80 RGB,129,Over-ear,Gaming,High,Bass-heavy,No,4.2,6789,https://i.rtings.com/assets/products/m8C6yoV2/corsair-hs80-rgb-wireless/design-medium.jpg
106,Astro,A50,299,Over-ear,Gaming,High,Bass-heavy,No,4.3,5678,https://i.rtings.com/assets/products/UXlBJOMV/astro-a50-x-wireless/design-medium.jpg
107,SteelSeries,Arctis Pro Wireless,329,Over-ear,Gaming,Medium,Balanced,No,4.4,4567,https://i.rtings.com/assets/products/q2nVRrTL/steelseries-arctis-pro-wireless/design-medium.jpg
108,Logitech,G Pro X Wireless,199,Over-ear,Gaming,Medium,Balanced,No,4.4,7890,https://i.rtings.com/assets/products/1wh5FOwk/logitech-g-pro-x-wireless-lightspeed/design-medium.jpg
109,Razer,Kraken V3 Pro,199,Over-ear,Gaming,High,Bass-heavy,Yes,4.2,5678,https://i.rtings.com/assets/products/IqJdBp2r/razer-kraken-v3-pro-wireless/design-medium.jpg
110,HyperX,Cloud Flight S,159,Over-ear,Gaming,High,Bass-heavy,No,4.3,4567,https://i.rtings.com/assets/products/m5GdFYuL/hyperx-cloud-flight-s-wireless/design-medium.jpg
111,Turtle Beach,Elite Pro 2,199,Over-ear,Gaming,High,Bass-heavy,No,4.2,3456,
112,Corsair,Void RGB Elite,99,Over-ear,Gaming,High,Bass-heavy,No,4.1,6789,https://i.rtings.com/assets/products/5gqMhNM7/corsair-void-rgb-elite-wireless/design-medium.jpg
113,EPOS,H6Pro,179,Over-ear,Gaming,Medium,Balanced,No,4.5,5678,https://i.rtings.com/assets/products/WFJ0IYzA/epos-h6pro-open/design-medium.jpg
114,Audeze,Penrose,299,Over-ear,Gaming,Low,Flat,No,4.4,2345,https://i.rtings.com/assets/products/VnV5aOKJ/audeze-penrose-wireless/design-medium.jpg
115,Drop,PC38X,169,Over-ear,Gaming,Medium,Balanced,No,4.7,8901,https://i.rtings.com/assets/products/jMFYS8HV/drop-sennheiser-pc38x/design-medium.jpg
116,Audio-Technica,ATH-G1,169,Over-ear,Gaming,Medium,Balanced,No,4.3,3456,
117,Beyerdynamic,MMX 300,299,Over-ear,Gaming,Medium,Flat,No,4.6,2345,https://i.rtings.com/assets/products/Bff9hskf/beyerdynamic-mmx-300-2nd-generation/design-medium.jpg
118,Sennheiser,GSP 670,349,Over-ear,Gaming,Medium,Balanced,No,4.4,3456,https://i.rtings.com/assets/products/6KMuiJnp/sennheiser-gsp-670-wireless/design-medium.jpg
119,ROCCAT,Elo 7.1 Air,99,Over-ear,Gaming,High,Bass-heavy,No,4.0,4567,https://i.rtings.com/assets/products/zXZHDAIq/roccat-elo-7-1-air-wireless/design-medium.jpg
120,Cooler Master,MH-670,119,Over-ear,Gaming,High,Bass-heavy,No,4.1,3456,https://i.rtings.com/assets/products/Gl6CJT5n/cooler-master-mh670-wireless/design-medium.jpg
